"","SubjID","Condition","Item","Region","GenderMatch","Referentiality","Phrase","RT","LogRT","Accuracy"
"5911",1680716876,"QuantificationalMatch",12,5,"Yes","Quantificational","en",561,6.3297209055227,1
"5912",1680623840,"QuantificationalMatch",1,12,"Yes","Quantificational","de debate.",404,6.00141487796115,1
"5913",1680623840,"QuantificationalMatch",1,2,"Yes","Quantificational","que",311,5.73979291217923,1
"5914",1680716876,"QuantificationalMatch",12,3,"Yes","Quantificational","ningun capitan",504,6.22257626807137,1
"5915",1680716876,"QuantificationalMatch",12,8,"Yes","Quantificational","entregarlo",488,6.19031540585315,1
"5916",1680716876,"QuantificationalMatch",12,10,"Yes","Quantificational","del principe",689,6.53524127101366,1
"5917",1680716876,"QuantificationalMatch",12,11,"Yes","Quantificational","enemigo.",431,6.06610809010375,1
"5918",1680538364,"QuantificationalMatch",11,3,"Yes","Quantificational","ningun investigador",915,6.81892406527552,1
"5919",1680713743,"QuantificationalMatch",10,7,"Yes","Quantificational","deberian",418,6.03548143252476,1
"5920",1680716876,"QuantificationalMatch",16,5,"Yes","Quantificational","en",520,6.25382881157547,1
"5921",1680716876,"QuantificationalMatch",16,4,"Yes","Quantificational","voto",431,6.06610809010375,1
"5922",1680623840,"QuantificationalMatch",1,5,"Yes","Quantificational","de cursos",458,6.12686918411419,1
"5923",1680716876,"QuantificationalMatch",16,2,"Yes","Quantificational","que",344,5.8406416573734,1
"5924",1680716876,"QuantificationalMatch",16,0,"Yes","Quantificational","Los politicos",392,5.97126183979046,1
"5925",1680622933,"QuantificationalMatch",12,7,"Yes","Quantificational","intentaron",313,5.74620319054015,1
"5926",1680622933,"QuantificationalMatch",12,6,"Yes","Quantificational","el castillo",289,5.66642668811243,1
"5927",1680622933,"QuantificationalMatch",12,2,"Yes","Quantificational","que",374,5.92425579741453,1
"5928",1680622933,"QuantificationalMatch",12,3,"Yes","Quantificational","ningun capitan",537,6.28599809450886,1
"5929",1680622933,"QuantificationalMatch",12,4,"Yes","Quantificational","entreno",273,5.60947179518496,1
"5930",1680622933,"QuantificationalMatch",12,10,"Yes","Quantificational","del principe",392,5.97126183979046,1
"5931",1680622933,"QuantificationalMatch",12,9,"Yes","Quantificational","al ejercito",448,6.10479323241498,1
"5932",1680622933,"QuantificationalMatch",12,5,"Yes","Quantificational","en",221,5.39816270151775,1
"5933",1680622933,"QuantificationalMatch",12,0,"Yes","Quantificational","Los soldados",418,6.03548143252476,1
"5934",1680622933,"QuantificationalMatch",12,1,"Yes","Quantificational","a los",425,6.05208916892442,1
"5935",1680622933,"QuantificationalMatch",12,8,"Yes","Quantificational","entregarlo",377,5.93224518744801,1
"5936",1680622933,"QuantificationalMatch",12,11,"Yes","Quantificational","enemigo.",613,6.41836493593621,1
"5937",1680622933,"QuantificationalMatch",16,5,"Yes","Quantificational","en",391,5.96870755998537,1
"5938",1680711125,"QuantificationalMatch",1,4,"Yes","Quantificational","conocia",304,5.71702770140622,1
"5939",1680713743,"QuantificationalMatch",18,4,"Yes","Quantificational","ve",457,6.1246833908942,1
"5940",1680712428,"QuantificationalMatch",15,3,"Yes","Quantificational","ninguna presidenta",600,6.39692965521615,1
"5941",1680712699,"QuantificationalMatch",1,12,"Yes","Quantificational","de debate.",558,6.32435896238131,1
"5942",1680713743,"QuantificationalMatch",18,12,"Yes","Quantificational","la escuela.",392,5.97126183979046,1
"5943",1681834820,"QuantificationalMatch",10,0,"Yes","Quantificational","Las admiradoras",1320,7.18538701558042,1
"5944",1681834820,"QuantificationalMatch",10,1,"Yes","Quantificational","a las",721,6.58063913728495,1
"5945",1681834820,"QuantificationalMatch",10,2,"Yes","Quantificational","que",629,6.44413125670044,1
"5946",1681834820,"QuantificationalMatch",10,3,"Yes","Quantificational","ningÃºn actor",922,6.82654522355659,1
"5947",1681834820,"QuantificationalMatch",10,4,"Yes","Quantificational","saludÃ³",1122,7.02286808608264,1
"5948",1680711125,"QuantificationalMatch",13,4,"Yes","Quantificational","considero",352,5.8636311755981,1
"5949",1681834820,"QuantificationalMatch",10,7,"Yes","Quantificational","deberÃ­an",802,6.68710860786651,1
"5950",1681834820,"QuantificationalMatch",10,12,"Yes","Quantificational","de cine.",725,6.58617165485467,1
"5951",1681834820,"QuantificationalMatch",10,9,"Yes","Quantificational","durante",698,6.54821910276237,1
"5952",1680711125,"QuantificationalMatch",13,10,"Yes","Quantificational","el Comite",305,5.72031177660741,1
"5953",1680711125,"QuantificationalMatch",13,0,"Yes","Quantificational","Los candidatos",359,5.88332238848828,1
"5954",1680711125,"QuantificationalMatch",13,8,"Yes","Quantificational","denunciarla",375,5.92692602597041,1
"5955",1680711125,"QuantificationalMatch",13,6,"Yes","Quantificational","el ascenso",288,5.66296048013595,1
"5956",1681829549,"QuantificationalMatch",1,1,"Yes","Quantificational","a las",255,5.54126354515843,1
"5957",1681829549,"QuantificationalMatch",1,2,"Yes","Quantificational","que",255,5.54126354515843,1
"5958",1680710476,"QuantificationalMatch",15,0,"Yes","Quantificational","Los biologos",423,6.04737217904628,1
"5959",1680710476,"QuantificationalMatch",15,12,"Yes","Quantificational","climatico.",279,5.63121178182137,1
"5960",1681829549,"QuantificationalMatch",1,9,"Yes","Quantificational","ante",312,5.74300318780948,1
"5961",1681829549,"QuantificationalMatch",1,10,"Yes","Quantificational","el prestigioso",458,6.12686918411419,1
