SubjID,Condition,Item,Region,GenderMatch,Referentiality,Phrase,RT,LogRT,Accuracy
1681040751,ReferentialMismatch,18,12,No,Referential,de,432,6.068425588244111,1
1681040751,ReferentialMismatch,18,13,No,Referential,la escuela.,344,5.840641657373398,1
1681040751,ReferentialMismatch,2,1,No,Referential,Los doctores,713,6.569481420414296,1
1681040751,ReferentialMismatch,2,2,No,Referential,a los,384,5.950642552587727,1
1681040751,ReferentialMismatch,2,3,No,Referential,que,304,5.717027701406222,1
1681140819,ReferentialMismatch,23,8,No,Referential,la deberian,400,5.991464547107982,1
1681140819,ReferentialMismatch,23,9,No,Referential,reganar,809,6.695798917058491,1
1681140819,ReferentialMismatch,23,10,No,Referential,despues,421,6.042632833682381,1
1681140819,ReferentialMismatch,23,11,No,Referential,del espectaculo,516,6.246106765481563,1
1681140819,ReferentialMismatch,23,12,No,Referential,de ballet.,466,6.1441856341256456,1
1681140819,ReferentialMismatch,3,1,No,Referential,Las atletas,484,6.182084906716632,1
1681140819,ReferentialMismatch,3,2,No,Referential,a las,374,5.924255797414532,1
1681140819,ReferentialMismatch,3,3,No,Referential,que,364,5.8971538676367405,1
1681140819,ReferentialMismatch,3,4,No,Referential,la corredora,477,6.1675164908883415,1
1681234822,ReferentialMismatch,2,9,No,Referential,expulsar,302,5.71042701737487,1
1681234822,ReferentialMismatch,2,10,No,Referential,del equipo,276,5.62040086571715,1
1681234822,ReferentialMismatch,2,11,No,Referential,sanitario,301,5.707110264748875,1
1681234822,ReferentialMismatch,2,12,No,Referential,de emergencias.,329,5.796057750765372,1
1681234822,ReferentialMismatch,22,1,No,Referential,Los musicos,327,5.7899601708972535,1
1681234822,ReferentialMismatch,22,2,No,Referential,a los,279,5.631211781821365,1
1681234822,ReferentialMismatch,22,3,No,Referential,que,255,5.541263545158426,1
1681140819,ReferentialMismatch,3,12,No,Referential,de relevos.,743,6.610696044717759,1
1681140819,ReferentialMismatch,7,1,No,Referential,Las mujeres,376,5.929589143389895,1
